files,winner,T1_winners,T2_winners,T3_winners,T4_winners,T5_winners,T6_winners,T7_winners,T8_winners,T9_winners,T10_winners,T11_winners,T12_winners
aberdeenshire17-ballots/aberdeenshire17-01.blt,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-02.blt,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-03.blt,D,D,D,D,D,D,D,D,D,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-04.blt,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-05.blt,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-06.blt,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-07.blt,E,E,E,E,NA,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-08.blt,B,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-09.blt,D,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-10.blt,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-11.blt,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-12.blt,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-13.blt,D,D,D,D,D,D,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-14.blt,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-15.blt,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-16.blt,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-17.blt,E,F,F,E,E,E,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-18.blt,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA
aberdeenshire17-ballots/aberdeenshire17-19.blt,B,B,B,B,B,B,B,NA,NA,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-10-west-garioch_06052022_172124.csv,G,B,B,B,G,G,G,NA,NA,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-11-inverurie-and-district_06052022_172124.csv,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-12-east-garioch_06052022_172124.csv,F,F,F,F,F,NA,NA,NA,NA,NA,NA,NA,NA
aberdeenshire22/preferenceprofile_v0001_ward-13-westhill-and-district_06052022_172124.csv,F,C,C,F,F,F,NA,NA,NA,NA,NA,NA,NA
